state,code,F1,F2,F3,next,next_code
S0,000,0,0,0,S1,001
S0,000,0,0,1,S1,001
S0,000,0,1,0,S0,000
S0,000,0,1,1,S0,000
S0,000,1,0,0,S1,001
S0,000,1,0,1,S1,001
S0,000,1,1,0,S0,000
S0,000,1,1,1,S0,000
S1,001,0,0,0,S2,010
S1,001,0,0,1,S2,010
S1,001,0,1,0,S2,010
S1,001,0,1,1,S2,010
S1,001,1,0,0,S2,010
S1,001,1,0,1,S2,010
S1,001,1,1,0,S2,010
S1,001,1,1,1,S2,010
S2,010,0,0,0,S3,011
S2,010,0,0,1,S3,011
S2,010,0,1,0,S5,101
S2,010,0,1,1,S4,100
S2,010,1,0,0,S3,011
S2,010,1,0,1,S3,011
S2,010,1,1,0,S4,100
S2,010,1,1,1,S4,100
S3,011,0,0,0,S4,100
S3,011,0,0,1,S4,100
S3,011,0,1,0,S4,100
S3,011,0,1,1,S4,100
S3,011,1,0,0,S4,100
S3,011,1,0,1,S4,100
S3,011,1,1,0,S4,100
S3,011,1,1,1,S4,100
S4,100,0,0,0,S5,101
S4,100,0,0,1,S5,101
S4,100,0,1,0,S5,101
S4,100,0,1,1,S5,101
S4,100,1,0,0,S5,101
S4,100,1,0,1,S5,101
S4,100,1,1,0,S5,101
S4,100,1,1,1,S5,101
S5,101,0,0,0,S3,011
S5,101,0,0,1,S3,011
S5,101,0,1,0,S5,101
S5,101,0,1,1,S4,100
S5,101,1,0,0,S6,110
S5,101,1,0,1,S6,110
S5,101,1,1,0,S6,110
S5,101,1,1,1,S6,110
S6,110,0,0,0,S6,110
S6,110,0,0,1,S6,110
S6,110,0,1,0,S6,110
S6,110,0,1,1,S6,110
S6,110,1,0,0,S6,110
S6,110,1,0,1,S6,110
S6,110,1,1,0,S6,110
S6,110,1,1,1,S6,110
S7,111,0,0,0,S0,000
S7,111,0,0,1,S0,000
S7,111,0,1,0,S0,000
S7,111,0,1,1,S0,000
S7,111,1,0,0,S0,000
S7,111,1,0,1,S0,000
S7,111,1,1,0,S0,000
S7,111,1,1,1,S0,000
