state,X1,X2,X3,X4,F1,F2,F3,next
S0,0,0,0,0,1,1,1,S0
S0,0,0,0,1,1,1,1,S0
S0,0,0,1,0,1,1,1,S0
S0,0,0,1,1,1,1,1,S0
S0,0,1,0,0,1,0,1,S1
S0,0,1,0,1,1,0,1,S1
S0,0,1,1,0,1,0,1,S1
S0,0,1,1,1,0,0,1,S1
S0,1,0,0,0,0,1,0,S0
S0,1,0,0,1,0,1,0,S0
S0,1,0,1,0,1,1,1,S0
S0,1,0,1,1,1,1,1,S0
S0,1,1,0,0,1,1,1,S0
S0,1,1,0,1,1,1,1,S0
S0,1,1,1,0,1,0,1,S1
S0,1,1,1,1,1,0,1,S1
S1,0,0,0,0,1,1,1,S2
S1,0,0,0,1,1,1,1,S2
S1,0,0,1,0,1,1,1,S2
S1,0,0,1,1,1,1,1,S2
S1,0,1,0,0,1,0,1,S2
S1,0,1,0,1,1,0,1,S2
S1,0,1,1,0,1,0,1,S2
S1,0,1,1,1,0,0,1,S2
S1,1,0,0,0,0,1,0,S2
S1,1,0,0,1,0,1,0,S2
S1,1,0,1,0,1,1,1,S2
S1,1,0,1,1,1,1,1,S2
S1,1,1,0,0,1,1,1,S2
S1,1,1,0,1,1,1,1,S2
S1,1,1,1,0,1,0,1,S2
S1,1,1,1,1,1,0,1,S2
S2,0,0,0,0,1,1,1,S4
S2,0,0,0,1,1,1,1,S4
S2,0,0,1,0,1,1,1,S4
S2,0,0,1,1,1,1,1,S4
S2,0,1,0,0,1,0,1,S3
S2,0,1,0,1,1,0,1,S3
S2,0,1,1,0,1,0,1,S3
S2,0,1,1,1,0,0,1,S3
S2,1,0,0,0,0,1,0,S5
S2,1,0,0,1,0,1,0,S5
S2,1,0,1,0,1,1,1,S4
S2,1,0,1,1,1,1,1,S4
S2,1,1,0,0,1,1,1,S4
S2,1,1,0,1,1,1,1,S4
S2,1,1,1,0,1,0,1,S3
S2,1,1,1,1,1,0,1,S3
S3,0,0,0,0,1,1,1,S4
S3,0,0,0,1,1,1,1,S4
S3,0,0,1,0,1,1,1,S4
S3,0,0,1,1,1,1,1,S4
S3,0,1,0,0,1,0,1,S4
S3,0,1,0,1,1,0,1,S4
S3,0,1,1,0,1,0,1,S4
S3,0,1,1,1,0,0,1,S4
S3,1,0,0,0,0,1,0,S4
S3,1,0,0,1,0,1,0,S4
S3,1,0,1,0,1,1,1,S4
S3,1,0,1,1,1,1,1,S4
S3,1,1,0,0,1,1,1,S4
S3,1,1,0,1,1,1,1,S4
S3,1,1,1,0,1,0,1,S4
S3,1,1,1,1,1,0,1,S4
S4,0,0,0,0,1,1,1,S5
S4,0,0,0,1,1,1,1,S5
S4,0,0,1,0,1,1,1,S5
S4,0,0,1,1,1,1,1,S5
S4,0,1,0,0,1,0,1,S5
S4,0,1,0,1,1,0,1,S5
S4,0,1,1,0,1,0,1,S5
S4,0,1,1,1,0,0,1,S5
S4,1,0,0,0,0,1,0,S5
S4,1,0,0,1,0,1,0,S5
S4,1,0,1,0,1,1,1,S5
S4,1,0,1,1,1,1,1,S5
S4,1,1,0,0,1,1,1,S5
S4,1,1,0,1,1,1,1,S5
S4,1,1,1,0,1,0,1,S5
S4,1,1,1,1,1,0,1,S5
S5,0,0,0,0,1,1,1,S6
S5,0,0,0,1,1,1,1,S6
S5,0,0,1,0,1,1,1,S6
S5,0,0,1,1,1,1,1,S6
S5,0,1,0,0,1,0,1,S6
S5,0,1,0,1,1,0,1,S6
S5,0,1,1,0,1,0,1,S6
S5,0,1,1,1,0,0,1,S3
S5,1,0,0,0,0,1,0,S5
S5,1,0,0,1,0,1,0,S5
S5,1,0,1,0,1,1,1,S6
S5,1,0,1,1,1,1,1,S6
S5,1,1,0,0,1,1,1,S6
S5,1,1,0,1,1,1,1,S6
S5,1,1,1,0,1,0,1,S6
S5,1,1,1,1,1,0,1,S6
S6,0,0,0,0,1,1,1,S6
S6,0,0,0,1,1,1,1,S6
S6,0,0,1,0,1,1,1,S6
S6,0,0,1,1,1,1,1,S6
S6,0,1,0,0,1,0,1,S6
S6,0,1,0,1,1,0,1,S6
S6,0,1,1,0,1,0,1,S6
S6,0,1,1,1,0,0,1,S6
S6,1,0,0,0,0,1,0,S6
S6,1,0,0,1,0,1,0,S6
S6,1,0,1,0,1,1,1,S6
S6,1,0,1,1,1,1,1,S6
S6,1,1,0,0,1,1,1,S6
S6,1,1,0,1,1,1,1,S6
S6,1,1,1,0,1,0,1,S6
S6,1,1,1,1,1,0,1,S6
S7,0,0,0,0,1,1,1,S0
S7,0,0,0,1,1,1,1,S0
S7,0,0,1,0,1,1,1,S0
S7,0,0,1,1,1,1,1,S0
S7,0,1,0,0,1,0,1,S0
S7,0,1,0,1,1,0,1,S0
S7,0,1,1,0,1,0,1,S0
S7,0,1,1,1,0,0,1,S0
S7,1,0,0,0,0,1,0,S0
S7,1,0,0,1,0,1,0,S0
S7,1,0,1,0,1,1,1,S0
S7,1,0,1,1,1,1,1,S0
S7,1,1,0,0,1,1,1,S0
S7,1,1,0,1,1,1,1,S0
S7,1,1,1,0,1,0,1,S0
S7,1,1,1,1,1,0,1,S0
